timestamp,temperature,dewpoint_temperature,wind_speed,mean_sea_level_pressure,relative_humidity,surface_solar_radiation,surface_thermal_radiation,total_cloud_cover
2010-01-01T00:00:00Z,18.26,16.39,2.6,101046.38,0.89,287.01,408.35,1
2010-01-01T01:00:00Z,18.67,16.29,2.91,101037.96,0.86,360.79,411.02,1
2010-01-01T02:00:00Z,18.16,15.89,3.26,101017.26,0.87,291.54,410.67,1
2010-01-01T03:00:00Z,18.46,15.33,3.17,101022.56,0.82,357.11,410.95,1
2010-01-01T04:00:00Z,18.53,15.11,2.95,100940.03,0.8,459.91,410,0.9
2010-01-01T05:00:00Z,18.92,15.16,2.62,100885.16,0.79,513.07,407.46,0.96
2010-01-01T06:00:00Z,19.22,15.08,2.87,100825.28,0.77,312.21,411.98,0.94
2010-01-01T07:00:00Z,19.41,14.99,3.01,100801.35,0.76,211.4,406.76,0.9
2010-01-01T08:00:00Z,19.67,14.89,2.72,100817.06,0.74,112.08,404.2,0.89
2010-01-01T09:00:00Z,20.28,14.86,1.94,100834.75,0.71,57.45,401.17,0.89
2010-01-01T10:00:00Z,18.37,15.35,2.98,100747.92,0.83,12.69,388.98,0.68
2010-01-01T11:00:00Z,18.66,15.52,2.97,100776.94,0.82,0,397.29,0.81
2010-01-01T12:00:00Z,17.71,15.51,2.67,100777.38,0.87,0,395.51,0.95
2010-01-01T13:00:00Z,17.93,15.77,2.23,100784.78,0.87,0,397.81,0.95
2010-01-01T14:00:00Z,17.77,16.11,2.59,100821.04,0.9,0,374.95,0.95
2010-01-01T15:00:00Z,17.13,15.88,3.63,100796.68,0.92,0,386.09,1
2010-01-01T16:00:00Z,16.79,15.85,4.05,100778.87,0.94,0,388.44,1
2010-01-01T17:00:00Z,16.51,15.58,4.32,100803.07,0.94,0,391.23,1
2010-01-01T18:00:00Z,15.59,14.58,4.44,100881.48,0.94,0,396.73,1
2010-01-01T19:00:00Z,15.4,13.97,3.89,100955.75,0.91,0,378.62,1
2010-01-01T20:00:00Z,15.51,14.02,3.64,101028.83,0.91,9.8,379.78,1
2010-01-01T21:00:00Z,15.67,14.2,4.2,101087.23,0.91,44.02,379.38,1
2010-01-01T22:00:00Z,16.12,13.32,5.11,101141.39,0.83,95.41,378.74,1
2010-01-01T23:00:00Z,16.04,12.74,5.37,101198.49,0.81,167.84,376.88,1
2010-01-02T00:00:00Z,17.41,11.28,6.11,101207.29,0.67,266.36,375.76,1
2010-01-02T01:00:00Z,18.02,10.33,6.31,101244.32,0.61,458.11,366.75,0.91
2010-01-02T02:00:00Z,17.96,10.27,6.27,101252.65,0.61,530.36,366.98,0.93
2010-01-02T03:00:00Z,18.95,9.72,6.59,101294.74,0.55,650.21,368.1,0.84
2010-01-02T04:00:00Z,19.01,9.94,6.46,101294.32,0.56,740.53,338.09,0.94
2010-01-02T05:00:00Z,19.08,10,6.42,101296.77,0.56,641.91,348.62,0.99
2010-01-02T06:00:00Z,18,10.36,7.01,101310.63,0.61,500.24,368.41,1
2010-01-02T07:00:00Z,17.38,11.08,7.32,101375.18,0.66,247.78,375.62,0.99
2010-01-02T08:00:00Z,17.07,11.26,6.92,101457.76,0.69,116.61,376.52,0.99
2010-01-02T09:00:00Z,17.26,10.49,6.64,101545.1,0.64,65.87,368.9,0.98
2010-01-02T10:00:00Z,15.4,8.9,6.62,101601.01,0.65,13.3,363.02,0.99
2010-01-02T11:00:00Z,15.44,8.47,6.22,101682.91,0.63,0,352.53,0.99
2010-01-02T12:00:00Z,14.41,7.7,5.87,101698.29,0.64,0,360.14,0.98
2010-01-02T13:00:00Z,14.45,7.63,5.49,101721.85,0.64,0,359.48,1
2010-01-02T14:00:00Z,14.51,7.65,5.21,101710.58,0.63,0,359.43,0.99
2010-01-02T15:00:00Z,13.76,7.61,4.83,101676.07,0.66,0,346.88,0.99
2010-01-02T16:00:00Z,13.73,7.64,4.6,101676.29,0.67,0,340.59,0.99
2010-01-02T17:00:00Z,13.84,7.6,4.47,101685.57,0.66,0,341.29,0.99
2010-01-02T18:00:00Z,13.82,7.48,4.25,101700.47,0.66,0,341.49,0.98
2010-01-02T19:00:00Z,13.86,7.63,3.83,101750.83,0.66,0,351.77,0.98
2010-01-02T20:00:00Z,13.96,7.52,4.02,101805.51,0.65,20.9,355.38,0.95
2010-01-02T21:00:00Z,13.9,7.63,4.76,101860.42,0.66,108.99,343.54,1
2010-01-02T22:00:00Z,15.39,8.35,5.3,101953.86,0.63,205.39,356.65,1
2010-01-02T23:00:00Z,15.36,8.32,5.23,101999.58,0.63,340.14,362.09,1
2010-01-03T00:00:00Z,16.29,8.52,5.05,102004.34,0.6,399.56,357.95,1
2010-01-03T01:00:00Z,16.86,8.6,5.03,102002.75,0.58,491.86,361.81,1
2010-01-03T02:00:00Z,17.01,8.54,5.11,101986.48,0.57,674.66,360.28,1
2010-01-03T03:00:00Z,18.14,8.88,5.14,101976.39,0.55,750.99,360.19,0.95
2010-01-03T04:00:00Z,18.06,8.93,5.27,101960.09,0.55,798.62,342.95,0.93
2010-01-03T05:00:00Z,17.97,9.02,5.31,101936.77,0.56,768.31,335.29,0.9
2010-01-03T06:00:00Z,17.79,9.09,5.07,101912.14,0.57,644.7,338.21,0.86
2010-01-03T07:00:00Z,17.85,8.93,4.76,101908.71,0.56,394.13,345.3,0.82
2010-01-03T08:00:00Z,17.88,8.89,4.72,101920.49,0.56,299.36,337.15,0.73
2010-01-03T09:00:00Z,18.05,8.79,4.52,101962.3,0.55,150.95,329.69,0.79
2010-01-03T10:00:00Z,15.57,8.85,3.97,102000.32,0.64,21.55,313.58,0.91
2010-01-03T11:00:00Z,15.59,8.93,3.57,102006.54,0.65,0,305.26,0.92
2010-01-03T12:00:00Z,14.16,9.02,3.26,101995.7,0.71,0,301.2,0.94
2010-01-03T13:00:00Z,14.18,8.99,3.09,101992.37,0.71,0,308.66,0.75
2010-01-03T14:00:00Z,14.08,9.02,2.88,101945.39,0.72,0,304.04,0.62
2010-01-03T15:00:00Z,12.94,8.92,2.82,101898.04,0.77,0,301.23,0.46
2010-01-03T16:00:00Z,12.51,8.86,2.62,101825.57,0.78,0,291.78,0.2
2010-01-03T17:00:00Z,12.15,8.73,2.45,101808.18,0.8,0,291.22,0.13
2010-01-03T18:00:00Z,11.05,8.26,2.29,101819.38,0.83,0,283.63,0.08
2010-01-03T19:00:00Z,11.49,8.39,2.14,101847.98,0.81,0,287.81,0.06
2010-01-03T20:00:00Z,11.58,8.89,2.22,101881.33,0.84,45.62,289.19,0.03
2010-01-03T21:00:00Z,11.85,8.77,2.16,101892.65,0.81,213.52,287.02,0.02
2010-01-03T22:00:00Z,16.08,9.35,2.14,101906.62,0.64,439.72,288.78,0.01
2010-01-03T23:00:00Z,16.29,9.22,1.1,101877.28,0.63,652.29,297.04,0.02
2010-01-04T00:00:00Z,18.88,9.86,0.98,101814.57,0.56,835.01,301.51,0.48
2010-01-04T01:00:00Z,20.6,9.62,0.62,101782.53,0.49,967.85,309,0.64
2010-01-04T02:00:00Z,21.11,10.07,0.72,101717.53,0.49,1031.98,319.15,0.78
2010-01-04T03:00:00Z,23.34,10.82,1.32,101625.17,0.45,1066.87,323.93,0.56
2010-01-04T04:00:00Z,23.75,11.07,1.93,101553.08,0.45,1036.16,327.79,0.37
2010-01-04T05:00:00Z,23.99,11.3,2.47,101456.35,0.45,937.46,331.02,0.05
2010-01-04T06:00:00Z,24.25,11.36,3.43,101393.78,0.44,789.53,333.31,0
2010-01-04T07:00:00Z,24.15,11.33,4.33,101375.85,0.45,600.08,332.26,0
2010-01-04T08:00:00Z,23.84,11.7,4.76,101375.53,0.46,387,333.55,0
2010-01-04T09:00:00Z,23.7,11.79,4.5,101421.02,0.47,177.99,332.69,0
2010-01-04T10:00:00Z,19.89,12.43,4.05,101441.75,0.62,24.72,328.23,0
2010-01-04T11:00:00Z,19.39,12.75,3.1,101466.75,0.65,0,324.26,0
2010-01-04T12:00:00Z,16.72,13,2.2,101427.29,0.79,0,320.69,0
2010-01-04T13:00:00Z,16.43,13.07,1.81,101447.41,0.8,0,317.73,0
2010-01-04T14:00:00Z,16,12.95,1.29,101421.08,0.82,0,315.28,0
2010-01-04T15:00:00Z,14.2,12.46,0.65,101385.18,0.89,0,312.95,0
2010-01-04T16:00:00Z,13.83,12.29,1.04,101359.63,0.9,0,310.51,0
2010-01-04T17:00:00Z,13.82,12.41,1.33,101334,0.91,0,308.32,0
2010-01-04T18:00:00Z,13.03,11.96,1.39,101382.75,0.93,0,306.68,0
2010-01-04T19:00:00Z,13,11.99,0.98,101403.98,0.94,0,305.73,0
2010-01-04T20:00:00Z,13.73,12.43,1.68,101415.43,0.92,44.03,303.97,0
2010-01-04T21:00:00Z,14.34,12.8,1.35,101434.66,0.9,218.48,305.13,0.06
2010-01-04T22:00:00Z,19.01,14.71,0.87,101434.98,0.76,432.19,311.28,0.44
2010-01-04T23:00:00Z,19.52,14.7,2.48,101482.11,0.74,635.49,321.31,0.3
2010-01-05T00:00:00Z,22.25,14.96,3.92,101499.28,0.63,818.85,329.1,0.26
2010-01-05T01:00:00Z,23.27,14.97,4.68,101522.2,0.6,953.27,334.97,0.5
2010-01-05T02:00:00Z,23.05,14.64,4.85,101530.82,0.59,1041.81,337.13,0.84
2010-01-05T03:00:00Z,23.11,13.98,4.77,101490.49,0.56,1052.69,340.64,0.84
2010-01-05T04:00:00Z,23.01,13.79,4.62,101448.99,0.56,959.97,344.71,0.9
2010-01-05T05:00:00Z,23.21,13.96,4.89,101425.88,0.56,896.74,352.98,0.48
2010-01-05T06:00:00Z,22.14,13.64,5.65,101426.39,0.59,729.09,345.49,0
2010-01-05T07:00:00Z,21.45,13.21,5.98,101481.18,0.59,581.22,341.65,0
2010-01-05T08:00:00Z,21.12,12.86,6.04,101537.01,0.59,380.14,332.73,0
2010-01-05T09:00:00Z,21.14,12.34,5.63,101676.97,0.57,176.4,325.08,0
2010-01-05T10:00:00Z,17.28,11.99,4.28,101731.23,0.71,24.64,317.65,0.01
2010-01-05T11:00:00Z,17.47,11.84,3.74,101787.98,0.7,0,310.5,0
2010-01-05T12:00:00Z,15.12,11.41,2.97,101814.54,0.78,0,306.33,0.02
2010-01-05T13:00:00Z,14.84,11.36,2.36,101803.56,0.8,0,307.39,0.02
