timestamp,temp_c,dewpoint_temp_c,wind_speed,mean_sea_level_pressure,relative_humidity,surface_solar_radiation,surface_thermal_radiation,total_cloud_cover,temp_c_station
2019-01-01T00:00:00Z,21.55,13.87,2.36,101295.34,0.62,815.98,335.59,0,C
2019-01-01T01:00:00Z,22.43,14.05,2.37,101250,0.59,955.69,338.25,0,C
2019-01-01T02:00:00Z,23.52,14.23,2.5,101205.01,0.56,1044.95,339.09,0,B
2019-01-01T03:00:00Z,24.83,13.66,2.92,101150.26,0.5,1069.81,339.03,0,C
2019-01-01T04:00:00Z,25.17,12.54,3.76,101122.99,0.45,1040.78,337.87,0,C
2019-01-01T05:00:00Z,25.21,11.41,4.48,101098.67,0.42,939.51,336.84,0,A
2019-01-01T06:00:00Z,23.99,11.69,5.13,101074.17,0.46,784.08,335.62,0,B
2019-01-01T07:00:00Z,23.75,12.19,5.6,101119.36,0.48,594.6,335.41,0,C
2019-01-01T08:00:00Z,22.49,12.92,5.58,101172.95,0.55,384.82,332.53,0,C
2019-01-01T09:00:00Z,22.31,13.46,5.16,101305.16,0.57,176.22,328.63,0,B
2019-01-01T10:00:00Z,19.05,13.53,4.08,101379.68,0.7,24.06,324.84,0,C
2019-01-01T11:00:00Z,18.33,13.87,3.93,101418.99,0.75,0,322.87,0,A
2019-01-01T12:00:00Z,17.29,13.86,3.33,101448.72,0.8,0,325.58,0.01,A
2019-01-01T13:00:00Z,17.23,13.96,3,101422.52,0.81,0,319.69,0.05,C
2019-01-01T14:00:00Z,17.1,13.93,2.87,101375.06,0.82,0,335.96,0.15,C
2019-01-01T15:00:00Z,16.69,13.75,2.75,101300.09,0.83,0,330.39,0.35,C
2019-01-01T16:00:00Z,16.77,13.65,2.56,101221.79,0.82,0,346.36,0.42,C
2019-01-01T17:00:00Z,16.83,13.38,2.46,101222.43,0.8,0,364.46,0.54,A
2019-01-01T18:00:00Z,16.7,13.46,2.45,101226.99,0.81,0,358.04,0.47,A
2019-01-01T19:00:00Z,16.74,13.25,2.57,101292.75,0.8,0,335.74,0.57,B
2019-01-01T20:00:00Z,16.94,13.07,2.87,101331.63,0.78,33.04,359.13,0.59,A
2019-01-01T21:00:00Z,16.63,13.07,3.58,101364.54,0.79,172.82,361.84,0.87,C
2019-01-01T22:00:00Z,18.14,12.87,3.16,101413.05,0.71,307.41,345.9,0.93,B
2019-01-01T23:00:00Z,18.58,12.83,3.71,101401.01,0.69,508.47,364.43,0.85,B
2019-01-02T00:00:00Z,19.77,13.12,3.98,101413.44,0.65,620.65,361.17,0.77,B
2019-01-02T01:00:00Z,20.32,13.07,4.18,101400.49,0.63,807.52,356.84,0.61,A
2019-01-02T02:00:00Z,21.22,13.48,4.15,101354.36,0.61,962.58,361.71,0.33,C
2019-01-02T03:00:00Z,22.22,13.7,4.29,101323.09,0.58,1058.94,339.48,0,A
2019-01-02T04:00:00Z,22.25,13.78,4.8,101270.96,0.59,1032.34,331.88,0,B
2019-01-02T05:00:00Z,22.21,13.64,5.52,101225.88,0.58,932.2,333.97,0,C
2019-01-02T06:00:00Z,21.24,13.39,6.02,101202.15,0.61,783.6,331.7,0,A
2019-01-02T07:00:00Z,21.28,13.24,6.04,101202.53,0.6,598.58,324.63,0,C
2019-01-02T08:00:00Z,20.45,12.82,5.69,101266.68,0.62,387.2,321.63,0.26,C
2019-01-02T09:00:00Z,20.63,12.89,5.1,101313.43,0.61,178.01,317.9,0.6,B
2019-01-02T10:00:00Z,17.94,12.33,4.11,101340.36,0.7,24.06,315.72,0.02,C
2019-01-02T11:00:00Z,17.24,12.32,3.75,101374.61,0.73,0,313.56,0.03,A
2019-01-02T12:00:00Z,16.2,12.29,3.54,101391.65,0.78,0,311.77,0.05,B
2019-01-02T13:00:00Z,16.22,12.45,3.57,101368.35,0.78,0,308.76,0.07,C
2019-01-02T14:00:00Z,15.89,12.62,3.61,101353.45,0.81,0,312.89,0.02,C
2019-01-02T15:00:00Z,15.14,12.84,3.63,101282.99,0.86,0,305.23,0.01,B
2019-01-02T16:00:00Z,15.1,12.98,3.76,101228.13,0.87,0,308.05,0.1,A
2019-01-02T17:00:00Z,14.81,12.99,3.76,101199.45,0.89,0,305.81,0.17,C
2019-01-02T18:00:00Z,14.76,13.01,3.61,101210.64,0.89,0,316.49,0.41,B
2019-01-02T19:00:00Z,14.95,12.86,3.14,101242.41,0.87,0,344.12,0.48,C
2019-01-02T20:00:00Z,15.57,13.17,2.77,101284.36,0.86,36.03,338.71,0.5,B
2019-01-02T21:00:00Z,15.44,13.19,2.35,101269.31,0.86,160.11,346.74,0.51,B
2019-01-02T22:00:00Z,17.68,14.02,1.55,101281.29,0.79,316.92,346.98,0.94,A
2019-01-02T23:00:00Z,18.81,14.29,0.56,101243.11,0.75,513.76,357.17,0.8,C
2019-01-03T00:00:00Z,21.34,14.97,0.44,101181.49,0.67,703.16,354.18,0.57,B
2019-01-03T01:00:00Z,22.5,14.99,0.76,101159.64,0.63,847.25,357.15,0.07,C
2019-01-03T02:00:00Z,24.03,15.29,1.21,101104.8,0.58,1031.34,345.21,0.01,B
2019-01-03T03:00:00Z,26.02,15.27,1.55,101053.83,0.52,1062.55,349.14,0,B
2019-01-03T04:00:00Z,26.27,15.06,2.03,100996.16,0.5,1032.97,352.9,0,A
2019-01-03T05:00:00Z,26.68,15.18,2.46,100884.92,0.49,934.75,355.45,0,B
2019-01-03T06:00:00Z,26.56,15.82,2.86,100840.35,0.52,787.12,356.15,0,C
2019-01-03T07:00:00Z,26.75,15.95,3.05,100790.56,0.52,599.87,354.84,0,B
2019-01-03T08:00:00Z,26.32,16.35,2.84,100773.8,0.54,389.19,352.27,0,A
2019-01-03T09:00:00Z,26.41,17.54,2.31,100818.05,0.58,180.24,348,0,B
2019-01-03T10:00:00Z,22.84,17.94,1.86,100829.55,0.74,25,342.18,0,C
2019-01-03T11:00:00Z,21.59,17.78,1.44,100833.94,0.79,0,337.34,0,C
2019-01-03T12:00:00Z,20.5,17.62,0.68,100841.84,0.84,0,335.33,0,C
2019-01-03T13:00:00Z,19.92,17.7,1.05,100841.23,0.87,0,333.15,0,A
2019-01-03T14:00:00Z,19.22,17.68,1.11,100811.7,0.91,0,330.16,0,B
2019-01-03T15:00:00Z,18.57,17.39,1.69,100740.67,0.93,0,327.41,0,C
2019-01-03T16:00:00Z,18.42,17.22,2.4,100636.91,0.93,0,324.69,0,A
2019-01-03T17:00:00Z,18.24,16.67,2.9,100577.56,0.91,0,322.02,0,C
2019-01-03T18:00:00Z,18.31,15.72,3.32,100555.27,0.85,0,319.75,0,A
2019-01-03T19:00:00Z,18.37,14.97,3.85,100574.1,0.81,0,317.19,0,C
2019-01-03T20:00:00Z,20.11,14.48,4.56,100598.74,0.7,47.19,319.14,0,A
2019-01-03T21:00:00Z,21.88,13.17,5.2,100569.17,0.58,224.32,325.85,0,A
2019-01-03T22:00:00Z,28.82,11.7,5.69,100530.71,0.35,436.73,336.17,0,B
2019-01-03T23:00:00Z,31.99,11.37,6.21,100464.36,0.28,644.29,348.08,0,A
2019-01-04T00:00:00Z,35.56,10.75,7.09,100406.17,0.22,824.5,359.48,0,A
2019-01-04T01:00:00Z,36.67,10.15,7.47,100333.68,0.2,961.58,369.42,0.05,C
2019-01-04T02:00:00Z,37.8,11.04,7.49,100281.02,0.2,1042.62,379.82,0.15,B
2019-01-04T03:00:00Z,39.36,12.17,7.29,100203.2,0.2,1069.57,389.87,0.35,A
2019-01-04T04:00:00Z,39.83,11.32,6.61,100117.96,0.18,929.1,407.83,0.27,A
2019-01-04T05:00:00Z,38.85,12.53,4.69,100071.42,0.21,875.5,402.51,0.61,A
2019-01-04T06:00:00Z,33.07,14.93,8.4,100246.93,0.34,747.14,397.68,0.79,A
2019-01-04T07:00:00Z,23.38,16.67,7.89,100386.63,0.66,350.32,402.67,0.73,B
2019-01-04T08:00:00Z,20.43,16.3,7.14,100694.83,0.77,276.16,382.32,0.71,C
2019-01-04T09:00:00Z,20.99,16.34,6.09,100933.05,0.75,94.98,375.75,0.82,A
2019-01-04T10:00:00Z,18.16,14.73,5.41,101045.34,0.8,13.89,393.7,0.96,B
2019-01-04T11:00:00Z,17.86,13.93,4.76,101156.4,0.78,0,385.08,0.95,A
2019-01-04T12:00:00Z,17.1,12.81,4.83,101110.8,0.76,0,387.6,0.99,A
2019-01-04T13:00:00Z,17.24,12.71,4.38,101101.3,0.75,0,385.6,0.95,A
2019-01-04T14:00:00Z,17,12.49,4.66,101094.26,0.75,0,382.51,0.96,C
2019-01-04T15:00:00Z,16.57,12.2,4.82,101059.37,0.75,0,381.1,0.99,C
2019-01-04T16:00:00Z,16.72,12.15,4.72,101038.41,0.74,0,378.48,1,A
2019-01-04T17:00:00Z,16.58,12.06,4.88,101037.64,0.75,0,383,0.97,C
2019-01-04T18:00:00Z,16.2,11.58,5.04,101071.74,0.74,0,377.54,0.98,B
2019-01-04T19:00:00Z,16.1,11.59,4.88,101093.87,0.75,0,368.62,0.98,A
2019-01-04T20:00:00Z,16.17,11.27,5.26,101179.87,0.73,22.77,371,1,A
2019-01-04T21:00:00Z,16.07,11.22,5.18,101282.63,0.73,105.12,366.74,1,A
2019-01-04T22:00:00Z,17.07,10.71,4.8,101353.42,0.66,213.8,369.29,1,A
2019-01-04T23:00:00Z,17.04,10.33,4.56,101445.6,0.65,260.65,372.14,1,C
2019-01-05T00:00:00Z,16.94,10.37,4.58,101425.77,0.65,301.25,377.14,0.99,A
2019-01-05T01:00:00Z,16.96,10.55,3.67,101441.15,0.66,351.87,373.33,0.97,C
2019-01-05T02:00:00Z,17.11,11.12,3.27,101395.57,0.68,432.38,358.88,1,B
2019-01-05T03:00:00Z,17.39,11.25,3.89,101365.65,0.67,246.44,367.45,1,A
2019-01-05T04:00:00Z,17.25,11.47,4.44,101314.95,0.69,259.46,365.16,0.9,A
2019-01-05T05:00:00Z,18.34,10.78,4.11,101350.66,0.61,411.12,359.96,0.72,A
2019-01-05T06:00:00Z,18.84,9.74,3.6,101410.21,0.55,489.66,346.18,0.73,C
2019-01-05T07:00:00Z,19.13,8.7,3.41,101403.95,0.51,425.6,342.68,0.46,B
2019-01-05T08:00:00Z,18.66,8.29,3.87,101467.44,0.51,290.52,333.08,0.42,A
2019-01-05T09:00:00Z,18.64,8.43,3.89,101566.97,0.51,121.48,327.13,0.27,C
2019-01-05T10:00:00Z,16.53,9.58,3.28,101627.78,0.64,21.17,315.14,0.32,C
2019-01-05T11:00:00Z,15.67,9.99,2.89,101684.4,0.69,0,312.79,0.42,A
2019-01-05T12:00:00Z,14.79,10.34,3.27,101732.35,0.75,0,320.97,0.59,C
2019-01-05T13:00:00Z,14.82,10.74,3.31,101752.13,0.77,0,325.12,0.66,B
2019-01-05T14:00:00Z,14.51,10.84,3.18,101791.97,0.79,0,326.72,0.58,C
2019-01-05T15:00:00Z,14.04,10.73,3.06,101758.61,0.8,0,335.74,0.5,A
2019-01-05T16:00:00Z,13.94,10.78,2.95,101735.13,0.81,0,334.12,0.54,C
2019-01-05T17:00:00Z,13.8,10.79,2.9,101729.51,0.82,0,343.25,0.51,B
2019-01-05T18:00:00Z,13.16,10.42,2.99,101766.09,0.84,0,334.43,0.47,B
2019-01-05T19:00:00Z,13.47,10.36,3.06,101839.49,0.81,0,341.27,0.52,C
2019-01-05T20:00:00Z,13.96,10.72,3.35,101904.27,0.81,29.94,330.05,0.58,B
2019-01-05T21:00:00Z,14.05,10.48,3.99,101979.4,0.79,171.74,343.88,0.73,C
2019-01-05T22:00:00Z,17.23,9.65,3.24,102023.13,0.61,275.52,338.73,0.9,A
2019-01-05T23:00:00Z,17.85,9.18,3.14,102025.22,0.57,455.21,336.79,0.97,A
2019-01-06T00:00:00Z,19.05,9.4,3.44,102067.04,0.54,493.9,365.29,0.93,B
2019-01-06T01:00:00Z,19.47,9.36,3.98,102048.22,0.52,656.07,352.63,0.91,C
2019-01-06T02:00:00Z,19.96,9.61,4.29,102024.25,0.51,829.23,359.6,0.86,B
2019-01-06T03:00:00Z,20.77,9.89,4.39,101972.56,0.5,859.56,350.17,0.78,B
2019-01-06T04:00:00Z,20.77,9.98,4.5,101945.01,0.5,958.95,327.7,0.39,C
2019-01-06T05:00:00Z,20.95,10.29,4.66,101906.82,0.5,922.22,322.3,0.49,C
2019-01-06T06:00:00Z,20.35,10.5,4.88,101906.51,0.53,776.43,325.26,0.31,B
2019-01-06T07:00:00Z,20.41,10.41,5.06,101862.59,0.53,569.54,322.11,0.18,A
2019-01-06T08:00:00Z,20.02,10.62,5.2,101908.43,0.55,373.39,323.69,0.23,B
2019-01-06T09:00:00Z,20.07,10.78,4.96,101948.05,0.55,175.64,321.85,0.32,C
2019-01-06T10:00:00Z,17.38,11.37,3.94,102006.47,0.68,22.89,313.65,0.62,B
2019-01-06T11:00:00Z,16.81,11.56,3.65,102031.98,0.71,0,314.91,0.4,B
2019-01-06T12:00:00Z,16.11,11.57,3.5,102012.52,0.74,0,306.66,0.31,A
2019-01-06T13:00:00Z,16.01,11.58,3.29,102020.9,0.75,0,311.53,0.37,A
2019-01-06T14:00:00Z,15.47,11.6,3.14,101987.68,0.78,0,301.6,0.3,A
2019-01-06T15:00:00Z,15.22,11.79,3.08,101934.06,0.8,0,305.37,0.27,C
2019-01-06T16:00:00Z,15.07,11.87,2.99,101875.7,0.81,0,302.14,0.22,B
2019-01-06T17:00:00Z,15.14,11.86,3,101845.03,0.81,0,312.96,0.25,C
2019-01-06T18:00:00Z,15.15,11.87,3.08,101831.23,0.81,0,322.63,0.18,A
2019-01-06T19:00:00Z,14.96,11.84,3.04,101886.86,0.82,0,310.64,0.16,B
2019-01-06T20:00:00Z,15.39,12,3.21,101898.32,0.8,40.89,310.52,0.17,B
2019-01-06T21:00:00Z,15.56,11.9,3.51,101939.49,0.79,201.58,306.32,0.22,C
2019-01-06T22:00:00Z,17.83,11.54,3.01,101977.6,0.67,408.06,320.48,0.37,C
2019-01-06T23:00:00Z,19.13,11.55,2.35,101913.81,0.61,617.12,318.29,0.15,A
2019-01-07T00:00:00Z,21.3,11.91,2.02,101873.03,0.55,810.29,327.13,0.03,C
